Rec. AC Bus #;Rec. AC Bus Name;Inv. AC Bus #;Inv. AC Bus Name;Pole #;Area;Zone;Mode;# of Ret Convert.;# of Inv Convert.;DC Line R (ohms);Setpoint(MW or A);VCC Sched (kV);VCC Lim (kV);I Max. (A);Compound R (ohms);Alpha Max (deg);Alpha Min (deg);R(pu) Rect.Trf.;X(pu) Rect.Trf.;Sec.Base(kV) Rect;Turns Ratio Rect;Trf.Tap Rect.;Min.Tap Rect.Trf.;Max.Tap Rect.Trf.;Tap Step Rec.Trf.;CCC X(ohms) Rect;Gamma Max (deg);Gamma Min (deg);R(pu) Inv.Trf.;X(pu) Inv.Trf.;Sec.Base(kV) Inv.;Turns Ratio Inv.;Tap Inv.Trf.;Min.Tap Inv.Trf.;Max.Tap Inv.Trf.;Tap Step Inv.Trf.;CCC X(ohms) Inv.;Status
85;FOZ50--PR500;86;IBIUNA-SP345;01;0;0;Pot. at Rect;4;4;10.4700;694.00;600.0000;0.9750;0.1000;0.0000;15.00;5.00;0.0000;0.1780;127.4000;0.2548;1.1492;0.9250;1.2500;0.0063;0.0000;17.00;17.00;0.0000;0.1720;122.0000;0.3536;1.2500;0.9250;1.2500;0.0063;0.0000;ON 
85;FOZ50--PR500;86;IBIUNA-SP345;02;0;0;Pot. at Rect;4;4;10.4700;0.00;600.0000;0.9750;0.1000;0.0000;15.00;5.00;0.0000;0.1780;127.4000;0.2548;1.0000;0.9250;1.2500;0.0063;0.0000;17.00;17.00;0.0000;0.1720;122.0000;0.3536;1.0000;0.9250;1.2500;0.0063;0.0000;OFF 
85;FOZ50--PR500;86;IBIUNA-SP345;03;0;0;Pot. at Rect;4;4;10.4700;0.00;600.0000;0.9750;0.1000;0.0000;15.00;5.00;0.0000;0.1780;127.4000;0.2548;1.0000;0.9250;1.2500;0.0063;0.0000;17.00;17.00;0.0000;0.1720;122.0000;0.3536;1.0000;0.9250;1.2500;0.0063;0.0000;OFF 
85;FOZ50--PR500;86;IBIUNA-SP345;04;0;0;Pot. at Rect;4;4;10.4700;0.00;600.0000;0.9750;0.1000;0.0000;15.00;5.00;0.0000;0.1780;127.4000;0.2548;1.0000;0.9250;1.2500;0.0063;0.0000;17.00;17.00;0.0000;0.1720;122.0000;0.3536;1.0000;0.9250;1.2500;0.0063;0.0000;OFF 
8001;ALUMAR-L1034;8004;ALU_BIUHE001;81;0;0;Pot. at Rect;1;1;0.0027;0.00;0.9155;0.0000;0.0000;0.0000;0.00;0.00;0.0000;0.0587;0.7000;0.0206;1.0000;0.7000;1.4000;0.0063;0.0000;15.00;0.00;0.0000;0.0100;1.0000;0.0010;1.0000;0.7000;1.4000;0.0063;0.0000;OFF 
8002;ALUMAR-L2034;8004;ALU_BIUHE001;82;0;0;Pot. at Rect;1;1;0.0033;0.00;1.1280;0.0000;0.0000;0.0000;0.00;0.00;0.0000;0.0681;0.8960;0.0264;1.0000;0.7000;1.4000;0.0063;0.0000;15.00;0.00;0.0000;0.0100;1.0000;0.0010;1.0000;0.7000;1.4000;0.0063;0.0000;OFF 
8003;ALUMAR-L3034;8004;ALU_BIUHE001;83;0;0;Pot. at Rect;1;1;0.0034;0.00;1.0300;0.0000;0.0000;0.0000;0.00;0.00;0.0000;0.0761;0.8960;0.0264;1.0000;0.7000;1.4000;0.0063;0.0000;15.00;0.00;0.0000;0.0100;1.0000;0.0010;1.0000;0.7000;1.4000;0.0063;0.0000;OFF 
7055;C.PVEL-RO500;7057;ARARQ2-SP500;01;0;0;Pot. at Rect;2;2;17.1000;626.00;600.0000;0.0000;0.1000;0.0000;15.00;5.00;0.0000;0.1750;254.6000;0.5092;1.2063;0.9375;1.3130;0.0063;0.0000;17.00;17.00;0.0000;0.1750;236.0000;0.4720;1.2984;0.9375;1.3130;0.0063;0.0000;ON 
7055;C.PVEL-RO500;7057;ARARQ2-SP500;02;0;0;Pot. at Rect;2;2;17.1000;0.00;600.0000;0.0000;0.1000;0.0000;15.00;5.00;0.0000;0.1750;254.6000;0.5092;1.0000;0.9375;1.3130;0.0063;0.0000;17.00;17.00;0.0000;0.1750;236.0000;0.4720;1.0000;0.9375;1.3130;0.0063;0.0000;OFF 
7055;C.PVEL-RO500;7057;ARARQ2-SP500;03;0;0;Pot. at Rect;2;2;15.8500;0.00;600.0000;0.0000;0.1000;0.0000;13.00;5.00;0.0000;0.1500;258.0000;0.5160;1.0000;0.9250;1.2500;0.0063;0.0000;18.50;18.50;0.0000;0.1500;243.0000;0.4860;1.0000;0.9250;1.2500;0.0063;0.0000;OFF 
7055;C.PVEL-RO500;7057;ARARQ2-SP500;04;0;0;Pot. at Rect;2;2;15.8500;0.00;600.0000;0.0000;0.1000;0.0000;13.00;5.00;0.0000;0.1500;258.0000;0.5160;1.0000;0.9250;1.2500;0.0063;0.0000;18.50;18.50;0.0000;0.1500;243.0000;0.4860;1.0000;0.9250;1.2500;0.0063;0.0000;OFF 
7059;CPVBTB-RO500;7054;C.PVEL-RO230;01;0;0;Pot. at Rect;2;2;0.6000;210.00;101.8000;0.9750;0.0000;0.0000;18.00;-9.50;0.0000;0.1410;37.8000;0.0756;1.0531;0.8625;1.1370;0.0063;1.9029;30.00;22.00;0.0000;0.1410;37.8000;0.1643;0.9137;0.8875;1.1370;0.0063;4.7537;ON 
7059;CPVBTB-RO500;7054;C.PVEL-RO230;02;0;0;Pot. at Rect;2;2;0.6000;210.00;101.8000;0.9750;0.0000;0.0000;18.00;-9.50;0.0000;0.1410;37.8000;0.0756;1.0531;0.8625;1.1370;0.0063;1.9029;30.00;22.00;0.0000;0.1410;37.8000;0.1643;0.9137;0.8875;1.1370;0.0063;4.7537;ON 
8100;XINGU--PA500;3010;ESTREI-MG500;01;0;0;Pot. at Rect;2;2;13.9000;200.00;800.0000;0.9000;0.0000;0.0000;14.30;12.70;0.0000;0.1600;335.7000;0.6714;1.2334;0.9375;1.2500;0.0063;0.0000;18.40;18.00;0.0000;0.1600;329.5000;0.6590;1.2500;0.9375;1.2500;0.0063;0.0000;ON 
8100;XINGU--PA500;3010;ESTREI-MG500;02;0;0;Pot. at Rect;2;2;13.9000;0.00;800.0000;0.9000;0.0000;0.0000;14.30;12.70;0.0000;0.1600;335.7000;0.6714;1.0000;0.9375;1.2500;0.0063;0.0000;18.40;18.00;0.0000;0.1600;329.5000;0.6590;1.0000;0.9375;1.2500;0.0063;0.0000;OFF 
8100;XINGU--PA500;9605;T.RIO--RJ500;03;0;0;Pot. at Rect;2;2;16.8100;200.00;800.0000;0.0000;0.0000;0.0000;15.00;5.00;0.0000;0.1600;336.7000;0.6734;1.2331;0.9550;1.3550;0.0063;0.0000;17.00;17.00;0.0000;0.1600;330.9000;0.6618;1.3400;0.9350;1.3400;0.0063;0.0000;ON 
8100;XINGU--PA500;9605;T.RIO--RJ500;04;0;0;Pot. at Rect;2;2;16.8100;0.00;800.0000;0.9750;0.0000;0.0000;15.00;5.00;0.0000;0.1600;336.7000;0.6734;1.0000;0.9550;1.3550;0.0063;0.0000;17.00;17.00;0.0000;0.1600;330.9000;0.6618;1.0000;0.9350;1.3400;0.0063;0.0000;OFF 
